Best New Artist Of 1964,b'The Beatles',b'The Beatles'
Best Country & Western Single,b'Dang Me',b''
Best Country & Western Album,b'Dang Me/Chug-A-Lug',b'Roger Miller'
Best Country & Western Vocal Performance - Female,b'Here Comes My Baby',b'Dottie West'
Best Country & Western Vocal Performance - Male,b'Dang Me',b'Roger Miller'
Best Country & Western Song,b'Dang Me',"b'Roger Miller, songwriter (Roger Miller)'"
Best New Country & Western Artist Of 1964,b'',b'Roger Miller'
Best Album Notes,b'Mexico (Legacy Collection)',b'Carlos Chavez'
Best Performance - Orchestra,b'Mahler: Symphony No. 5/Berg: Wozzeck Excerpts',"b'Erich Leinsdorf, conductor'"
Best Chamber Performance - Instrumental,"b'Beethoven: Trio No. 1 In E Flat, Op. 1 #1'","b'Jascha Heifetz, violin; Gregor Piatigorsky, cello (Jacob Lateiner, piano) (Instrumental)'"
Best Chamber Music Performance - Vocal,b'It Was A Lover And His Lass',"b'Noah Greenberg, conductor (Vocal)'"
Best Performance - Instrumental Soloist Or Soloists (With Orchestra),b'Prokofiev: Violin Concerto No. 1 In D',"b'Isaac Stern, violin'"
Best Performance - Instrumental Soloist Or Soloists (Without Orchestra),"b'Vladimir Horowitz Plays Beethoven, Debussy, Chopin'","b'Vladimir Horowitz, piano'"
Best Opera Recording,b'Bizet: Carmen',"b'Herbert von Karajan, conductor'"
Best Choral Performance (Other Than Opera),b'Britten: A Ceremony Of Carols',"b'Robert Shaw, conductor'"
Best Vocal Soloist Performance (With Or Without Orchestra),b"Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo","b'Leontyne Price, soprano'"
Best Composition By A Contemporary Composer,b'Barber: Piano Concerto',b'John Browning'
Best Engineered Recording,b"Britten: Young Person's Guide To The Orchestra","b'Carlo Maria Giulini, conductor'"
Most Promising New Classical Recording Artist,"b'The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)'","b'Marilyn Horne, mezzo soprano'"
Record Of The Year,b'A Taste Of Honey',b'Herb Alpert And The Tijuana Brass'
Album Of The Year,b'September Of My Years',b'Frank Sinatra'
Album Of The Year -- Classical,b'Horowitz At Carnegie Hall - An Historic Return',"b'Vladimir Horowitz, piano'"
Song Of The Year,b'The Shadow Of Your Smile (Love Theme From "The Sandpiper")',"b'Johnny Mandel & Paul Francis Webster, songwriters (Tony Bennett)'"
"Best Vocal Performance, Female",b'My Name Is Barbra',b'Barbra Streisand'
"Best Vocal Performance, Male",b'It Was A Very Good Year',b'Frank Sinatra'
"Best Instrumental Performance, Non-Jazz",b'A Taste Of Honey',b'Herb Alpert And The Tijuana Brass'
Best Performance By A Vocal Group,b'We Dig Mancini',b'Anita Kerr Singers'
Best Performance By A Chorus,b'Anyone For Mozart?',b'Ward Swingle (The Swingle Singers)'
Best Original Score Written For A Motion Picture Or Television Show,b'The Sandpiper',b'Robert Armbruster Orchestra'
Best Score From An Original Cast Show Album,b'On A Clear Day',"b'Barbara Harris, John Cullum, Tito Vandis, Byron Webster, William Daniels'"
Best Comedy Performance,b'Why Is There Air?',b'Bill Cosby'
Best Spoken Word Or Drama Recording,b'John F. Kennedy - As We Remember Him',b'(John F. Kennedy)'
Best New Artist,b'Tom Jones',b'Tom Jones'
Best Recording For Children,b'Dr. Seuss Presents "Fox In Sox" And "Green Eggs And Ham"',b'Marvin Miller'
Best Album Notes,b'September Of My Years',b'Frank Sinatra'
Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,b'The "In" Crowd',b'Ramsey Lewis Trio'
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,b"Ellington '66",b'Duke Ellington'
Best Original Jazz Composition,b'Jazz Suite On The Mass Texts',b'Paul Horn'
